Analytical skills,Communication,Confidence,Conflict resolution,Cultural fit,Customer service,Decision-making,Flexibility/adaptability,Handling feedback,Handling stress,Honesty,Interpersonal skills,Leadership,Motivation and enthusiasm,Negotiating,Organizational skills,Presentation skills,Problem-solving,Strategic planning,Teamwork,Time management,Work ethics,python0,python1,python2,sql0,sql1,sql2,powerBI0,powerBI1,powerBI2,machine_learning0,machine_learning1,machine_learning2
0.0,0.33,0.25,1.0,1.0,0.0,0.5,0.0,0.67,0.0,0.0,0.0,0.2,0.12,0.0,0.0,0.0,0.2,0.75,0.0,0.71,0.0,0.8,1.0,0.0,0.7,0.3,0.5,0.3,0.4,0.2,0.4,0.5,0.2
0.4,0.33,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,0.43,0.2,0.0,0.0,0.33,1.0,0.2,0.25,0.0,0.14,0.2,0.7,0.4,0.1,0.4,0.9,0.5,0.6,1.0,0.3,0.0,0.9,0.4
0.4,0.11,0.0,1.0,0.0,0.33,1.0,0.14,0.0,0.17,0.0,0.57,0.0,0.0,1.0,0.33,0.0,0.0,0.25,0.11,0.29,0.0,0.9,0.7,0.0,0.3,0.4,0.5,0.5,0.9,0.9,0.3,0.1,0.6
0.0,0.22,0.25,1.0,1.0,0.0,0.5,0.14,0.33,0.0,1.0,0.0,0.2,0.12,0.0,0.33,1.0,0.0,0.5,0.22,0.29,0.0,0.2,0.2,1.0,0.8,0.8,1.0,0.6,0.9,0.1,0.8,0.1,0.0
0.2,0.11,0.5,0.0,1.0,0.0,0.5,0.29,0.33,0.33,1.0,0.14,0.2,0.0,1.0,0.0,1.0,0.0,0.25,0.22,0.14,0.0,0.3,0.5,0.3,0.7,0.7,0.7,0.4,0.6,1.0,0.3,0.9,0.9
0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.29,0.0,0.0,1.0,0.29,0.4,0.0,0.0,0.33,1.0,0.4,0.75,0.0,0.0,0.4,1.0,0.2,1.0,0.4,0.0,0.8,0.9,0.6,0.5,0.7,0.7,0.8
0.2,0.11,0.25,1.0,0.0,0.67,1.0,0.14,0.0,0.0,1.0,0.14,0.2,0.12,1.0,0.0,1.0,0.0,0.25,0.11,0.14,0.4,0.2,0.9,0.2,0.8,0.5,0.8,0.3,0.3,0.0,0.6,0.8,0.2
0.4,0.0,0.5,1.0,0.0,0.67,0.5,0.29,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.43,0.0,0.5,0.0,0.3,0.8,0.6,0.3,1.0,0.0,1.0,0.7,0.3,0.7
0.2,0.11,0.0,0.0,1.0,0.67,0.5,0.29,0.0,0.17,1.0,0.14,0.2,0.0,0.0,0.33,1.0,0.6,0.25,0.0,0.0,0.2,1.0,1.0,0.3,0.2,0.4,0.4,1.0,0.8,0.7,0.9,0.6,0.8
0.0,0.11,0.25,0.0,1.0,0.0,0.0,0.0,0.33,0.0,1.0,0.14,0.6,0.25,0.0,0.17,1.0,0.2,0.5,0.22,0.14,0.2,0.9,0.2,0.3,0.2,0.0,0.9,0.2,0.0,0.2,0.6,0.2,0.9
0.4,0.11,0.0,0.0,1.0,0.33,0.0,0.14,1.0,0.33,1.0,0.14,0.0,0.25,0.0,0.0,0.0,0.2,0.25,0.11,0.0,0.4,0.1,0.0,0.7,0.8,0.6,0.4,1.0,0.5,0.4,0.0,0.8,0.1
0.2,0.0,0.0,0.0,1.0,0.67,0.5,0.14,1.0,0.0,0.0,0.43,0.0,0.12,0.0,0.0,0.0,0.4,0.25,0.11,0.14,0.4,0.6,0.1,0.0,0.8,0.2,0.9,1.0,0.4,1.0,0.2,0.4,0.3
0.2,0.0,0.25,1.0,1.0,0.67,0.0,0.29,0.0,0.0,1.0,0.14,0.2,0.0,1.0,0.33,1.0,0.0,0.5,0.22,0.14,0.0,0.8,1.0,0.9,0.3,0.7,0.4,0.2,0.2,0.9,0.1,0.6,0.0
0.0,0.0,0.25,0.0,1.0,0.67,0.0,0.0,0.33,0.33,0.0,0.29,0.0,0.25,1.0,0.33,0.0,0.2,0.0,0.0,0.43,0.4,0.4,1.0,0.7,0.1,0.3,0.1,0.4,1.0,0.0,0.8,0.6,0.0
0.6,0.11,0.75,0.0,0.0,0.0,0.0,0.14,0.67,0.0,1.0,0.0,0.0,0.12,0.0,0.33,1.0,0.6,0.0,0.11,0.14,0.0,0.2,0.9,0.3,0.9,0.8,0.5,0.7,1.0,1.0,0.4,0.1,0.0
0.2,0.0,0.5,1.0,1.0,1.0,0.0,0.14,0.33,0.0,1.0,0.0,0.2,0.25,0.0,0.0,1.0,0.2,0.0,0.33,0.0,0.2,0.8,0.6,0.4,0.5,0.3,0.0,0.3,0.5,0.7,0.0,0.4,1.0
0.4,0.33,0.25,0.0,1.0,0.0,0.5,0.14,0.0,0.0,1.0,0.0,0.2,0.0,1.0,0.0,1.0,0.2,0.5,0.0,0.57,0.0,0.1,0.4,0.5,0.1,0.5,0.4,0.2,1.0,0.9,0.7,0.3,0.0
1.0,0.0,0.25,1.0,1.0,0.67,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.25,1.0,0.17,0.0,0.2,0.5,0.0,0.14,0.0,0.6,0.9,0.0,0.0,0.7,0.9,0.7,0.3,0.2,0.0,0.2,0.6
0.2,0.22,0.5,1.0,1.0,0.0,0.0,0.14,0.0,0.17,1.0,0.14,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.14,0.4,0.3,0.5,0.0,0.1,0.2,0.4,0.6,0.8,0.9,1.0,0.6,0.8
0.2,0.11,0.0,1.0,1.0,0.67,0.0,0.14,0.0,0.0,1.0,0.29,0.2,0.12,0.0,0.33,0.0,0.4,0.0,0.22,0.14,0.2,0.2,0.4,0.6,0.7,0.9,0.1,0.9,0.2,1.0,0.8,0.3,0.5
0.6,0.0,0.5,1.0,1.0,0.0,0.5,0.29,0.0,0.33,0.0,0.14,0.4,0.12,0.0,0.0,1.0,0.0,0.25,0.11,0.14,0.0,0.9,0.1,0.1,0.3,0.5,0.4,0.7,0.4,0.1,0.9,0.3,0.2
0.2,0.11,0.0,1.0,1.0,0.33,0.0,0.14,0.67,0.17,1.0,0.29,0.2,0.0,1.0,0.33,1.0,0.4,0.0,0.11,0.0,0.0,0.2,1.0,0.9,0.3,0.8,0.7,0.6,1.0,0.6,0.0,0.5,0.9
0.2,0.22,1.0,0.0,1.0,0.33,0.0,0.14,0.33,0.17,0.0,0.0,0.2,0.12,0.0,0.17,1.0,0.0,0.25,0.22,0.14,0.0,0.5,0.6,0.8,0.6,0.0,1.0,0.3,0.9,0.6,0.8,0.7,0.3
0.8,0.0,0.0,1.0,0.0,0.0,0.5,0.14,0.0,0.0,1.0,0.14,0.0,0.12,0.0,0.0,1.0,0.4,0.5,0.11,0.43,0.2,0.8,0.7,0.8,0.1,0.7,0.6,1.0,0.0,1.0,1.0,0.0,0.7
0.0,0.0,0.25,0.0,1.0,0.33,0.0,0.43,0.67,0.17,0.0,0.0,0.2,0.12,1.0,0.33,0.0,0.6,0.0,0.22,0.0,0.2,0.9,0.0,0.8,0.5,0.1,0.5,0.5,0.2,0.9,0.1,0.4,0.6
0.2,0.0,0.0,1.0,1.0,0.67,0.0,0.14,0.0,0.33,0.0,0.29,0.0,0.0,0.0,0.17,1.0,0.4,1.0,0.11,0.14,0.0,0.6,0.1,0.6,0.8,0.4,0.2,0.2,0.0,0.0,0.4,0.9,0.2
0.2,0.0,0.5,1.0,1.0,0.33,0.5,0.14,1.0,0.33,1.0,0.0,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.2,0.4,0.5,0.9,1.0,0.5,0.2,0.1,0.9,1.0
0.2,0.33,0.0,1.0,1.0,0.0,0.5,0.14,0.33,0.0,1.0,0.0,0.2,0.12,1.0,0.33,1.0,0.0,0.0,0.0,0.29,0.4,0.4,0.5,0.5,0.2,0.3,0.7,0.7,0.6,0.7,0.1,0.1,0.7
0.4,0.0,0.25,0.0,0.0,0.67,0.5,0.14,0.33,0.17,1.0,0.14,1.0,0.0,1.0,0.0,1.0,0.0,0.25,0.11,0.0,0.0,0.9,0.0,0.3,0.8,0.0,0.9,0.2,0.8,0.0,0.6,0.3,0.6
0.2,0.22,0.25,1.0,0.0,0.33,0.0,0.0,0.33,0.83,1.0,0.29,0.2,0.0,1.0,0.17,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.7,0.2,0.4,0.1,0.3,0.7,0.5,0.8,0.2,0.7,0.0
0.4,0.0,0.25,1.0,1.0,0.33,0.0,0.14,0.33,0.0,1.0,0.14,0.2,0.12,0.0,0.0,1.0,0.0,0.25,0.22,0.29,0.4,0.3,0.0,0.8,0.1,0.8,0.4,0.8,0.1,0.9,0.9,0.1,0.6
0.0,0.22,0.25,1.0,1.0,0.33,0.5,0.14,0.0,0.0,1.0,0.0,0.4,0.0,1.0,0.17,1.0,0.0,0.5,0.11,0.29,0.2,0.6,0.9,0.0,0.2,0.3,0.1,0.8,0.3,0.3,0.7,0.0,0.3
0.0,0.22,0.25,1.0,1.0,0.0,0.5,0.43,0.67,0.17,0.0,0.0,0.2,0.12,0.0,0.5,1.0,0.0,0.25,0.0,0.14,0.0,0.9,0.8,0.1,0.5,1.0,0.3,0.4,0.7,0.2,0.7,1.0,1.0
0.2,0.33,0.5,1.0,0.0,1.0,0.5,0.0,0.67,0.17,0.0,0.14,0.2,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,1.0,0.4,0.6,0.6,0.9,0.9,0.5,0.6,0.5,0.9
0.0,0.11,0.25,0.0,0.0,0.33,0.0,0.0,0.67,0.0,1.0,0.29,0.2,0.0,1.0,0.67,1.0,0.4,0.25,0.0,0.29,0.0,0.8,0.8,0.1,0.6,0.6,0.3,0.3,0.7,0.5,0.5,1.0,0.6
0.2,0.0,0.5,0.0,0.0,0.33,1.0,0.0,0.0,0.0,1.0,0.14,0.6,0.12,1.0,0.17,0.0,0.2,0.25,0.11,0.43,0.0,0.2,0.1,0.4,0.5,0.1,0.9,0.4,0.5,0.2,1.0,0.4,0.9
0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.43,0.33,0.33,1.0,0.0,0.2,0.12,0.0,0.0,1.0,0.0,0.25,0.22,0.29,0.2,0.7,0.3,0.5,0.3,0.0,0.3,0.4,0.9,0.1,0.6,0.2,0.7
0.2,0.0,0.0,1.0,0.0,0.67,0.5,0.0,0.0,0.17,1.0,0.29,0.0,0.0,1.0,0.5,1.0,0.2,0.25,0.22,0.29,0.0,0.6,0.1,0.8,0.8,0.6,0.9,0.6,0.6,0.3,0.4,0.7,0.1
0.2,0.22,0.5,0.0,0.0,0.67,0.0,0.0,0.67,0.33,1.0,0.14,0.4,0.0,1.0,0.0,1.0,0.4,0.0,0.0,0.14,0.0,0.0,0.8,1.0,0.9,0.2,0.0,0.2,1.0,0.0,0.1,0.2,0.1
0.2,0.0,0.0,1.0,1.0,1.0,0.5,0.14,0.0,0.0,1.0,0.0,0.0,0.25,1.0,0.33,0.0,0.0,0.5,0.0,0.29,0.4,0.9,0.8,0.2,0.3,0.1,0.3,0.1,1.0,0.3,0.2,0.3,0.0
0.2,0.0,0.25,0.0,0.0,0.0,0.0,0.14,1.0,0.33,0.0,0.14,0.6,0.0,1.0,0.33,1.0,0.0,0.25,0.0,0.29,0.2,0.7,0.4,0.6,1.0,0.0,0.9,0.5,0.2,0.6,0.5,1.0,0.3
0.4,0.11,0.0,1.0,0.0,0.33,0.0,0.29,0.0,0.17,1.0,0.14,0.0,0.12,1.0,0.17,0.0,0.4,0.5,0.11,0.29,0.0,1.0,0.0,0.1,0.2,0.1,0.1,0.7,0.3,1.0,0.7,0.7,0.5
0.0,0.0,0.25,0.0,0.0,0.33,0.0,0.29,0.33,0.5,0.0,0.14,0.2,0.12,0.0,0.33,1.0,0.4,0.75,0.0,0.0,0.2,0.9,0.7,0.5,0.4,0.6,0.9,0.2,0.8,0.6,0.5,0.1,0.2
0.0,0.0,0.25,1.0,1.0,0.0,0.5,0.14,0.67,0.0,1.0,0.14,0.4,0.25,1.0,0.0,1.0,0.0,0.25,0.33,0.14,0.0,0.0,0.0,0.2,0.3,0.7,0.4,0.8,0.1,0.9,0.5,0.6,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.29,0.0,0.17,1.0,0.0,0.2,0.12,0.0,0.17,0.0,0.4,0.5,0.11,0.29,0.4,0.7,0.8,0.4,0.4,0.8,0.6,1.0,0.7,0.1,0.9,0.0,0.6
0.6,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.33,0.0,0.0,0.14,0.4,0.0,0.0,0.0,1.0,0.6,0.0,0.33,0.29,0.0,0.9,0.1,0.8,0.9,0.4,0.2,0.3,0.9,0.7,0.6,0.0,1.0
0.2,0.33,0.0,0.0,1.0,0.33,1.0,0.0,0.33,0.0,1.0,0.14,0.2,0.38,0.0,0.17,1.0,0.2,0.25,0.0,0.14,0.0,0.7,0.0,0.8,0.0,0.4,0.7,0.9,0.0,1.0,0.9,0.7,0.2
0.0,0.22,0.0,0.0,1.0,0.33,0.0,0.14,0.33,0.33,0.0,0.29,0.2,0.0,1.0,0.33,1.0,0.0,0.25,0.0,0.43,0.2,0.5,0.9,0.7,0.9,0.6,0.7,0.6,0.6,0.5,0.1,0.3,0.1
0.4,0.0,0.0,1.0,1.0,0.33,0.5,0.14,0.33,0.5,1.0,0.0,0.0,0.12,1.0,0.33,1.0,0.2,0.0,0.11,0.0,0.2,0.6,0.4,0.7,0.4,0.5,0.6,0.1,0.9,0.7,0.5,0.8,0.0
0.0,0.11,0.25,1.0,1.0,0.33,1.0,0.14,0.33,0.5,0.0,0.0,0.0,0.12,0.0,0.17,1.0,0.2,0.0,0.22,0.14,0.2,0.2,0.3,0.9,0.1,1.0,0.0,0.8,0.2,0.8,0.0,0.4,0.5
0.0,0.22,0.25,1.0,0.0,0.0,0.5,0.14,1.0,0.33,0.0,0.14,0.2,0.12,1.0,0.0,0.0,0.2,0.25,0.22,0.0,0.2,0.6,0.3,0.4,0.3,1.0,0.3,0.4,0.1,0.9,0.5,0.9,0.4
0.4,0.11,0.5,0.0,1.0,0.33,1.0,0.29,0.0,0.17,1.0,0.14,0.0,0.12,1.0,0.0,1.0,0.2,0.25,0.0,0.0,0.2,0.7,0.7,0.6,0.7,0.1,0.2,0.0,0.1,0.4,1.0,0.3,0.1
0.0,0.0,0.5,1.0,1.0,0.0,0.5,0.29,0.0,0.67,1.0,0.0,0.2,0.12,1.0,0.0,0.0,0.2,0.25,0.11,0.0,0.4,0.4,0.6,0.6,0.9,0.9,0.9,0.1,0.8,0.9,0.6,0.6,1.0
0.0,0.11,0.25,1.0,0.0,0.0,1.0,0.14,0.0,0.33,0.0,0.14,0.0,0.25,0.0,0.5,1.0,0.0,0.0,0.33,0.14,0.2,0.8,0.9,0.6,0.9,0.4,0.8,0.9,0.8,0.5,0.9,0.9,0.7
0.2,0.0,0.0,1.0,1.0,0.0,0.5,0.14,0.0,0.17,0.0,0.14,0.4,0.0,0.0,0.17,1.0,1.0,0.5,0.0,0.29,0.0,0.3,0.0,0.1,0.8,0.3,0.8,0.8,0.1,0.6,0.4,0.4,0.8
0.2,0.0,0.5,1.0,0.0,0.0,0.5,0.14,0.33,0.0,1.0,0.29,0.2,0.12,1.0,0.17,1.0,0.4,0.25,0.0,0.14,0.2,0.6,0.2,0.4,1.0,0.3,1.0,0.6,0.1,0.4,0.8,0.6,0.7
0.2,0.11,0.0,0.0,1.0,0.33,0.5,0.14,0.67,0.17,1.0,0.29,0.0,0.12,0.0,0.0,1.0,0.0,0.0,0.44,0.0,0.4,0.9,0.0,0.0,0.7,1.0,0.0,0.2,0.4,0.2,0.9,0.1,0.8
0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.29,0.67,0.17,1.0,0.29,0.0,0.12,0.0,0.17,1.0,0.2,0.25,0.11,0.0,0.4,0.9,1.0,0.8,0.1,0.8,0.0,0.1,0.0,0.6,0.3,0.0,0.4
1.0,0.22,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.12,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.5,0.6,0.3,0.3,0.9,0.5,0.8,0.4,0.4,0.5,1.0,1.0
0.2,0.0,0.75,0.0,1.0,0.67,0.5,0.14,0.0,0.0,1.0,0.14,0.2,0.12,1.0,0.17,1.0,0.4,0.0,0.0,0.14,0.2,0.3,1.0,0.7,0.5,0.2,0.1,1.0,0.4,0.9,0.2,0.4,0.9
0.2,0.22,0.0,1.0,0.0,0.33,0.5,0.14,0.67,0.0,1.0,0.0,0.2,0.12,1.0,0.17,1.0,0.2,0.5,0.11,0.14,0.0,0.6,0.3,1.0,0.0,0.1,0.6,0.1,0.7,0.7,0.6,0.0,0.1
0.4,0.22,0.0,1.0,1.0,0.33,0.5,0.0,0.0,0.0,1.0,0.14,0.2,0.12,1.0,0.0,1.0,0.6,0.25,0.0,0.14,0.2,1.0,0.5,0.0,0.8,0.3,0.0,0.7,0.2,0.2,0.1,0.3,0.9
0.0,0.11,0.0,0.0,1.0,0.33,0.0,0.0,1.0,0.17,1.0,0.43,0.2,0.12,1.0,0.33,1.0,0.0,0.25,0.0,0.14,0.2,0.9,0.0,0.4,0.0,0.2,0.0,0.7,0.5,0.6,0.3,0.5,0.5
0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.29,0.0,0.17,1.0,0.0,0.0,0.12,1.0,0.0,0.0,0.6,0.0,0.11,0.14,0.6,0.6,1.0,0.9,0.9,0.0,0.8,0.3,0.2,0.6,0.4,0.5,0.1
0.0,0.33,0.0,1.0,1.0,1.0,0.0,0.0,0.33,0.17,0.0,0.14,0.2,0.0,1.0,0.33,1.0,0.0,0.5,0.0,0.14,0.2,1.0,0.4,0.6,0.9,0.2,0.4,0.9,0.1,0.7,0.1,0.3,0.4
0.2,0.11,0.25,1.0,0.0,1.0,0.0,0.0,0.67,0.0,0.0,0.14,0.0,0.12,0.0,0.0,1.0,0.0,0.5,0.44,0.29,0.0,0.6,0.3,0.2,0.2,0.1,0.4,0.2,0.2,0.7,0.6,0.0,0.6
0.6,0.0,0.5,0.0,1.0,0.0,0.0,0.29,0.33,0.17,1.0,0.0,0.0,0.0,1.0,0.17,0.0,0.0,0.5,0.22,0.14,0.4,0.8,0.2,0.1,0.7,1.0,0.5,0.7,0.9,0.8,0.8,0.0,0.6
0.2,0.22,0.0,1.0,1.0,0.0,0.0,0.14,0.0,0.33,1.0,0.14,0.4,0.12,0.0,0.33,1.0,0.0,0.0,0.11,0.0,0.6,0.1,0.3,1.0,1.0,0.5,1.0,0.6,0.2,1.0,0.5,0.1,0.3
0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.33,0.33,0.0,0.14,0.4,0.0,1.0,0.33,0.0,0.2,0.0,0.33,0.43,0.0,0.7,0.5,0.9,0.4,0.5,0.1,0.4,0.5,0.1,0.7,0.4,1.0
0.2,0.0,0.0,1.0,1.0,0.67,1.0,0.0,0.33,0.33,1.0,0.0,0.0,0.12,1.0,0.17,0.0,0.2,0.25,0.11,0.0,0.6,0.8,0.0,0.5,1.0,0.3,0.5,0.3,0.9,0.7,0.8,0.6,1.0
0.6,0.0,0.0,0.0,0.0,0.0,0.5,0.14,0.33,0.33,1.0,0.14,0.2,0.12,0.0,0.0,1.0,0.6,0.25,0.11,0.0,0.4,0.9,0.9,1.0,0.4,0.1,0.8,0.2,0.6,0.1,0.7,0.2,0.8
0.4,0.11,0.25,1.0,0.0,0.0,1.0,0.14,0.0,0.0,1.0,0.29,0.0,0.12,0.0,0.17,1.0,0.2,0.0,0.11,0.43,0.2,0.1,0.6,0.4,0.3,0.6,0.5,0.4,1.0,0.3,0.6,0.9,0.3
0.0,0.11,0.5,1.0,1.0,0.33,1.0,0.14,0.0,0.33,1.0,0.0,0.2,0.12,1.0,0.0,0.0,0.6,0.0,0.0,0.29,0.0,0.8,0.4,0.8,0.7,0.9,0.8,0.9,0.0,0.9,0.9,0.8,0.1
0.2,0.22,0.5,0.0,1.0,0.33,0.5,0.0,0.0,0.17,1.0,0.14,0.0,0.12,0.0,0.33,1.0,0.0,0.5,0.22,0.14,0.0,0.9,1.0,0.1,1.0,0.3,0.7,0.6,0.3,0.3,0.1,0.6,0.0
0.0,0.11,0.75,1.0,1.0,0.0,0.0,0.14,0.0,0.0,1.0,0.57,0.0,0.0,1.0,0.17,1.0,0.2,0.0,0.33,0.0,0.2,0.2,0.2,0.3,0.1,0.9,0.1,0.1,0.6,1.0,0.5,0.5,0.2
0.4,0.22,0.0,1.0,0.0,0.33,1.0,0.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.25,0.22,0.14,0.2,0.0,0.9,0.8,0.3,0.1,0.2,0.5,0.2,0.0,1.0,0.9,1.0
0.0,0.11,0.0,1.0,1.0,0.67,1.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,0.22,0.29,0.0,0.7,0.9,0.7,0.3,0.9,0.1,0.8,0.3,0.6,1.0,1.0,0.7
0.8,0.11,0.25,1.0,1.0,0.0,0.5,0.14,0.33,0.17,0.0,0.29,0.2,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.14,0.0,0.8,0.7,0.4,0.8,0.5,0.8,0.2,0.0,1.0,0.9,0.0,0.5
0.6,0.0,0.0,1.0,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.25,1.0,0.17,1.0,0.2,0.5,0.11,0.0,0.0,0.7,0.2,0.9,0.0,0.4,0.9,0.3,1.0,0.8,0.9,0.5,0.0
0.6,0.22,0.25,1.0,0.0,0.0,1.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.0,0.2,0.0,0.11,0.0,0.6,0.0,0.3,0.4,0.8,0.7,0.4,0.8,0.2,0.6,0.7,0.6,0.7
0.4,0.11,0.5,0.0,0.0,0.0,0.5,0.29,0.0,0.33,1.0,0.14,0.2,0.25,0.0,0.0,1.0,0.0,0.5,0.11,0.0,0.2,1.0,0.5,0.6,0.9,0.5,0.4,0.4,0.1,0.1,0.0,0.4,1.0
0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.43,0.67,0.17,1.0,0.0,0.6,0.0,1.0,0.0,0.0,0.2,0.0,0.11,0.29,0.4,0.2,0.6,0.2,0.6,0.7,0.5,0.5,0.1,0.2,0.2,0.0,0.3
0.0,0.11,0.25,1.0,0.0,0.33,1.0,0.14,0.67,0.17,1.0,0.14,0.0,0.25,1.0,0.33,1.0,0.0,0.0,0.0,0.14,0.2,0.4,0.6,0.8,0.7,0.6,0.7,0.4,0.8,0.6,1.0,0.7,0.1
0.2,0.0,0.75,1.0,0.0,0.33,1.0,0.14,0.0,0.17,1.0,0.29,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.14,0.4,0.3,0.0,0.4,0.1,0.6,1.0,0.8,0.0,1.0,0.0,0.6,0.3
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14,1.0,0.33,1.0,0.0,0.0,0.25,1.0,0.33,1.0,0.2,1.0,0.0,0.14,0.0,0.3,1.0,0.3,0.5,0.1,1.0,0.9,0.9,0.2,0.2,0.1,0.8
0.0,0.11,0.25,1.0,0.0,0.0,0.5,0.0,0.67,0.17,1.0,0.29,0.2,0.25,1.0,0.0,0.0,0.4,0.0,0.11,0.0,0.6,1.0,0.6,0.9,0.3,0.6,0.3,0.6,0.3,0.6,0.6,0.6,1.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.33,0.0,0.43,0.0,0.25,1.0,0.0,1.0,0.2,0.75,0.0,0.43,0.2,0.0,0.6,0.3,0.4,0.8,0.2,0.2,0.2,0.0,0.0,0.9,0.4
0.0,0.11,0.25,0.0,1.0,0.67,0.0,0.14,0.33,0.17,1.0,0.14,0.0,0.75,1.0,0.0,1.0,0.0,0.0,0.11,0.0,0.2,0.1,0.3,0.4,0.9,0.6,0.2,0.0,0.1,1.0,0.7,0.7,0.3
0.2,0.11,0.0,1.0,0.0,0.0,1.0,0.29,0.0,0.17,1.0,0.0,0.6,0.0,1.0,0.17,1.0,0.2,0.75,0.11,0.0,0.0,0.4,1.0,0.0,0.4,0.2,0.9,0.8,1.0,0.4,0.9,0.9,0.8
0.0,0.22,0.0,1.0,0.0,0.67,1.0,0.0,0.33,0.0,1.0,0.14,0.6,0.25,1.0,0.0,1.0,0.0,0.25,0.11,0.0,0.2,0.3,0.3,0.1,0.4,0.0,0.3,0.9,0.2,0.4,0.2,0.0,0.0
0.2,0.0,0.25,1.0,1.0,0.0,0.5,0.0,0.67,0.17,1.0,0.29,0.2,0.12,1.0,0.17,0.0,0.4,0.25,0.11,0.0,0.2,0.7,0.1,0.7,0.0,0.0,0.6,1.0,0.2,0.4,0.9,0.9,0.1
0.4,0.0,0.5,1.0,1.0,0.33,0.0,0.0,0.0,0.0,1.0,0.43,0.0,0.38,0.0,0.17,0.0,0.2,0.75,0.0,0.0,0.2,1.0,0.0,0.2,0.2,0.8,1.0,0.1,0.8,0.8,0.2,0.7,0.4
0.2,0.0,0.25,1.0,0.0,0.33,0.5,0.0,0.67,0.0,1.0,0.29,0.2,0.25,1.0,0.17,1.0,0.6,0.0,0.0,0.14,0.0,0.5,0.3,0.1,0.3,0.5,0.1,0.7,0.6,0.9,0.8,0.5,0.5
0.0,0.0,0.25,1.0,0.0,0.33,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.38,0.0,0.17,1.0,0.4,0.25,0.33,0.29,0.2,0.7,0.3,0.8,0.4,0.9,0.0,0.9,0.1,0.5,0.5,0.6,0.2
0.6,0.0,0.25,1.0,1.0,0.67,0.5,0.14,0.0,0.33,0.0,0.0,0.0,0.25,1.0,0.17,1.0,0.2,0.25,0.0,0.14,0.0,0.1,0.7,0.4,0.9,1.0,0.1,0.8,1.0,0.0,0.3,0.1,0.9
0.2,0.22,0.25,1.0,1.0,0.67,1.0,0.29,0.0,0.0,0.0,0.14,0.2,0.12,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.8,0.8,0.8,0.9,0.3,0.7,0.8,0.2,0.2,0.2,0.5,0.8,0.5
0.2,0.11,0.25,0.0,1.0,0.0,0.0,0.14,0.0,0.5,0.0,0.14,0.0,0.5,0.0,0.33,0.0,0.0,0.0,0.11,0.43,0.2,0.4,0.6,0.7,0.2,0.9,0.1,0.6,0.9,0.8,0.7,0.3,0.9
0.2,0.0,0.0,1.0,1.0,0.33,0.5,0.14,0.0,0.33,1.0,0.0,0.6,0.0,0.0,0.0,1.0,0.2,0.25,0.11,0.29,0.4,0.5,1.0,0.2,0.4,0.8,0.6,1.0,0.8,0.0,0.8,0.5,0.7
0.2,0.11,0.5,0.0,1.0,0.67,0.0,0.14,0.0,0.0,1.0,0.0,0.2,0.12,1.0,0.17,1.0,0.2,0.25,0.22,0.14,0.2,0.2,0.2,0.5,0.0,0.4,0.8,0.7,0.7,0.1,0.8,0.9,0.1
0.2,0.0,0.25,1.0,0.0,0.0,0.0,0.43,0.67,0.17,1.0,0.0,0.0,0.25,1.0,0.33,1.0,0.2,0.0,0.11,0.0,0.4,0.2,0.5,0.7,0.7,0.9,0.9,0.5,0.1,0.6,0.5,0.6,0.1
